"rep","method","rr_obs","y_mean_bias","y_mean_abs_err","weight_var","min_weight","max_weight"
1,"unweighted",0.280666666666667,1.31175914728082,1.31175914728082,0,1,1
1,"standard",0.280666666666667,0.399759656428306,0.399759656428306,0.673816893128919,0.233797451121357,6.29185085877424
1,"constrained",0.280666666666667,0.399968218343494,0.399968218343494,0.6751223046254,0.280666666666667,6.30684067379546
1,"oracle_ipw",0.280666666666667,-0.240671470449156,0.240671470449156,1.48932184250376,0.284734512675246,12.0264954472935
2,"unweighted",0.273333333333333,1.44321434067428,1.44321434067428,0,1,1
2,"standard",0.273333333333333,0.477540556147761,0.477540556147761,0.698415685107712,0.22685826359438,7.41861254026373
2,"constrained",0.273333333333333,0.477376893919458,0.477376893919458,0.699384828017883,0.273333333333333,7.43488027146252
2,"oracle_ipw",0.273333333333333,-0.0720074511829162,0.0720074511829162,2.10198318867045,0.284499041521854,29.1597810874912
3,"unweighted",0.264,1.42477274638246,1.42477274638246,0,1,1
3,"standard",0.264,0.529703687609958,0.529703687609958,0.574956682461774,0.294444447999369,5.93656913567446
3,"constrained",0.264,0.529703678070493,0.529703678070493,0.574956692578456,0.294444441338829,5.93656923048723
3,"oracle_ipw",0.264,0.00509265046265495,0.00509265046265495,1.27303369811904,0.278736948604293,11.7731728826473
4,"unweighted",0.281666666666667,1.36806878426783,1.36806878426783,0,1,1
4,"standard",0.281666666666667,0.440073306087071,0.440073306087071,0.755197764169148,0.192028082898327,6.76369592951234
4,"constrained",0.281666666666667,0.441861067284236,0.441861067284236,0.760757241981327,0.281666666666667,6.8146040474767
4,"oracle_ipw",0.281666666666667,-0.0240104140827553,0.0240104140827553,1.15670866930399,0.298469919071148,10.3730642463201
5,"unweighted",0.282,1.43370898335563,1.43370898335563,0,1,1
5,"standard",0.282,0.428709729690451,0.428709729690451,0.752292890689337,0.226558684174454,6.5373555191036
5,"constrained",0.282,0.429976441795767,0.429976441795767,0.755848765299461,0.282,6.57040657327398
5,"oracle_ipw",0.282,-0.00510726126386629,0.00510726126386629,1.2150144060612,0.296846849536402,9.82731833521153
6,"unweighted",0.280666666666667,1.52883838303853,1.52883838303853,0,1,1
6,"standard",0.280666666666667,0.47813658637374,0.47813658637374,0.75882509265599,0.17676702574262,6.04408552931944
6,"constrained",0.280666666666667,0.477290580809287,0.477290580809287,0.768625472284089,0.280666666666667,6.12135072812493
6,"oracle_ipw",0.280666666666667,-0.000316986017671494,0.000316986017671494,1.38794339966261,0.294259830817247,12.4288217904981
7,"unweighted",0.277666666666667,1.30762977741388,1.30762977741388,0,1,1
7,"standard",0.277666666666667,0.392992474628169,0.392992474628169,0.787158190504267,0.192137909111065,8.04405885440353
7,"constrained",0.277666666666667,0.395211537866751,0.395211537866751,0.793687038450514,0.277666666666667,8.13334197995365
7,"oracle_ipw",0.277666666666667,-0.108217312140836,0.108217312140836,1.84133739342028,0.293808866271856,30.1139932711976
8,"unweighted",0.282666666666667,1.32883863471579,1.32883863471579,0,1,1
8,"standard",0.282666666666667,0.313180022171869,0.313180022171869,0.742908298915843,0.203435727704399,6.94025139579891
8,"constrained",0.282666666666667,0.313749988111718,0.313749988111718,0.750763358329936,0.282666666666667,7.02514755265354
8,"oracle_ipw",0.282666666666667,-0.17159328698587,0.17159328698587,1.1321092604925,0.289935621539661,12.246177675103
9,"unweighted",0.282333333333333,1.33692129820092,1.33692129820092,0,1,1
9,"standard",0.282333333333333,0.472141398994544,0.472141398994544,0.492772761487474,0.287770536432452,5.78772444160465
9,"constrained",0.282333333333333,0.472141411695178,0.472141411695178,0.492772749175445,0.287770544323346,5.78772433175055
9,"oracle_ipw",0.282333333333333,-0.416660223677484,0.416660223677484,2.51399456460652,0.253823332609564,26.015668714384
10,"unweighted",0.273,1.40545930356532,1.40545930356532,0,1,1
10,"standard",0.273,0.531739973382958,0.531739973382958,0.79080555550251,0.221802767213263,8.54565450995151
10,"constrained",0.273,0.532506829796539,0.532506829796539,0.792522833792261,0.273,8.57198683426427
10,"oracle_ipw",0.273,0.000924791807658698,0.000924791807658698,1.63853671739504,0.287252263956998,17.9652873847741
11,"unweighted",0.283333333333333,1.41847070401281,1.41847070401281,0,1,1
11,"standard",0.283333333333333,0.440813682958227,0.440813682958227,0.732746817000327,0.206461915141401,6.80097459708728
11,"constrained",0.283333333333333,0.439814098844101,0.439814098844101,0.738840389716427,0.283333333333333,6.8803346599337
11,"oracle_ipw",0.283333333333333,-0.124441909947372,0.124441909947372,1.54085373811643,0.288729667965297,12.1952411200803
12,"unweighted",0.281333333333333,1.61084112699277,1.61084112699277,0,1,1
