"method","rr_obs","n_resp","undersample_ratio_11","y_mean_bias","y_mean_abs_err","y_pred_mae","cov_bias","cov_abs_err","p11_bias","p11_abs_err","weight_var","min_weight","max_weight"
"constrained",0.365573,1827.865,0.0274576750600471,0.624088563129877,0.624088563129877,0.924045752163038,-0.163226618904435,0.163226618904435,-0.163226499959989,0.163226499959989,1.40818678513081,0.365573,14.5963823848845
"oracle_ipw",0.365573,1827.865,0.0274576750600471,0.0125003444953802,0.106409825069075,0.924045752163038,-0.00249728839463644,0.0145050282448842,-0.00295613231504937,0.0432382571329127,8.81528821251758,0.679912861576072,36.7152945251079
"oracle_joint",0.365573,1827.865,0.0274576750600471,0.00693541666571766,0.0697725246439331,0.924045752163038,-1.18922357831468e-07,1.18922357831468e-07,1.19348975147214e-17,3.21104254297211e-15,9.7893394007043,0.675778518534474,39.5599322867334
"standard",0.365573,1827.865,0.0274576750600471,0.784353505423513,0.784353505423513,0.924045752163038,-0.205669957963525,0.205669957963525,-0.20566983904229,0.20566983904229,0.611250433838065,0.253777909713276,7.71133788762141
"unweighted",0.365573,1827.865,0.0274576750600471,0.514945056000083,0.514945056000083,0.924045752163038,-0.120724263203951,0.120724263203951,-0.251421641843477,0.251421641843477,0,1,1
