"rep","method","rr_obs","n_resp","undersample_ratio_11","y_mean_bias","y_mean_abs_err","y_pred_mae","cov_bias","cov_abs_err","p11_bias","p11_abs_err","weight_var","min_weight","max_weight"
1,"unweighted",0.3624,1812,0.0298865438483417,0.510054471093624,0.510054471093624,0.913212311414,-0.115964040356916,0.115964040356916,-0.250793730684327,0.250793730684327,0,1,1
1,"oracle_ipw",0.3624,1812,0.0298865438483417,-0.0370736879454932,0.0370736879454932,0.913212311414,0.0105865306833675,0.0105865306833675,0.017241444464709,0.017241444464709,9.37849492647856,0.660952033558272,35.6914098121467
1,"oracle_joint",0.3624,1812,0.0298865438483417,0.0103134703594026,0.0103134703594026,0.913212311414,-1.18922358172818e-07,1.18922358172818e-07,-1.77635683940025e-15,1.77635683940025e-15,8.21008932870757,0.692516880415945,33.4598742857143
1,"standard",0.3624,1812,0.0298865438483417,0.774318083431477,0.774318083431477,0.913212311414,-0.199791298671413,0.199791298671413,-0.199791179749197,0.199791179749197,0.653869225763116,0.259445921872521,7.60118730675143
1,"constrained",0.3624,1812,0.0298865438483417,0.619402695033606,0.619402695033606,0.913212311414,-0.159280118922359,0.159280118922359,-0.159279999999999,0.159279999999999,1.29070006117042,0.3624,12.8444914285714
2,"unweighted",0.3556,1778,0.0239313270120981,0.547658155791706,0.547658155791706,0.935851966763987,-0.125572684157517,0.125572684157517,-0.252333273340832,0.252333273340832,0,1,1
2,"oracle_ipw",0.3556,1778,0.0239313270120981,-0.041325972401952,0.041325972401952,0.935851966763997,-0.0133559512505784,0.0133559512505784,-0.0247437660526554,0.0247437660526554,8.43181435231573,0.699754451108392,37.7867403598532
2,"oracle_joint",0.3556,1778,0.0239313270120981,-0.115718283104229,0.115718283104229,0.935851966763992,-1.18922356812795e-07,1.18922356812795e-07,8.32667268468867e-16,8.32667268468867e-16,10.365635953592,0.672529262435678,41.7862327272727
2,"standard",0.3556,1778,0.0239313270120981,0.813868932736408,0.813868932736408,0.93585196676399,-0.211171507876639,0.211171507876639,-0.211171388954522,0.211171388954522,0.57215105603378,0.247361825828068,7.65325731263159
2,"constrained",0.3556,1778,0.0239313270120981,0.639145415677772,0.639145415677772,0.935851966763986,-0.171480118899746,0.171480118899746,-0.171479999950133,0.171479999950133,1.25005494752232,0.3556,14.0688290997381
3,"unweighted",0.3706,1853,0.0375753416913697,0.53600420803214,0.53600420803214,0.924000772274791,-0.118796376341321,0.118796376341321,-0.248806022665947,0.248806022665947,0,1,1
