"target_rr","rep","K","method","rr_obs","weight_var","min_weight","max_weight","cov_mae_x","cov_bias_x","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae"
0.3,1,8,"standard",0.292285714285714,2.21955745941683,0.192891638603156,22.8654592643557,0.0194501858964999,-0.0194501858964999,0.280840452196111,0.280840452196111,0.285301174624846,1.47972245225902
0.3,1,8,"constrained",0.292285714285714,2.37882961741017,0.292285714285714,24.7888102820601,0.0153340410939647,-0.0153340410939647,0.283043574470678,0.283043574470678,0.288895018777905,1.48094082222615
0.3,1,12,"standard",0.292285714285714,2.47629836896528,0.138360287965985,30.8361485286305,0.0136484156412002,-0.0121646460251893,0.176897797424376,0.176897797424376,0.178807769305993,1.2619022159335
0.3,1,12,"constrained",0.292285714285714,2.71141790899461,0.292285714285714,34.1875940582669,0.0113809068725725,-0.00902909922336217,0.18156751166281,0.18156751166281,0.182920115773931,1.26367834669736
0.3,1,16,"standard",0.292285714285714,2.46122350941523,0.112222461876968,24.9250935734715,0.0133750051637307,-0.0111342394780488,0.0664799007950743,0.0664799007950743,0.0803139138986163,1.09103133867514
0.3,1,16,"constrained",0.292285714285714,2.72690315515654,0.292285714285714,27.578671098301,0.011554831280833,-0.00824536490134979,0.0704295127960926,0.0704295127960926,0.0847365331637682,1.09298417491238
0.3,1,20,"standard",0.292285714285714,2.54306878945062,0.096356325684333,27.10022763925,0.0121124741275065,-0.00960112527631857,0.0064831855160703,0.0064831855160703,0.0185855812926724,1.01699926375245
0.3,1,20,"constrained",0.292285714285714,2.8283482081384,0.292285714285714,29.9126792677043,0.0108407217416011,-0.00725526512312934,0.0109252732535383,0.0109252732535383,0.0230307291702284,1.01803110229406
0.3,1,25,"standard",0.292285714285714,2.57495180394183,0.0847031495812622,28.1223305392165,0.0106094617255075,-0.00510367901393695,0.000791089081761065,0.000791089081761065,0.0220682270979749,0.994679698733116
0.3,1,25,"constrained",0.292285714285714,2.86074847734472,0.292285714285714,30.8806513588641,0.0100767799413074,-0.0032165904950095,0.00658222069365522,0.00658222069365522,0.024636935507385,0.996181114837862
0.3,2,8,"standard",0.301571428571429,2.24752352542716,0.195116026717521,21.8065738684043,0.0171649544455497,-0.0171649544455497,0.228273126911024,0.228273126911024,0.263157247705359,1.47279435643092
0.3,2,8,"constrained",0.301571428571429,2.42428715789659,0.301571428571429,23.6240957163531,0.0127059055878056,-0.0127059055878056,0.23158948463213,0.23158948463213,0.268467154452262,1.47381234441139
0.3,2,12,"standard",0.301571428571429,2.44350981622434,0.132501751292794,22.9212734873292,0.0143116004531671,-0.0126916276839878,0.0811674681227839,0.0811674681227839,0.130787243248177,1.2357106950446
0.3,2,12,"constrained",0.301571428571429,2.71126926530882,0.301571428571429,25.4045859569764,0.0110966430548385,-0.00890437228000716,0.0893263109894749,0.0893263109894749,0.136828140885573,1.23684927803943
0.3,2,16,"standard",0.301571428571429,2.47163531491238,0.116834360336686,23.8064622299949,0.0118632351345653,-0.00874838490542441,0.0470569649197001,0.0470569649197001,0.103420622501819,1.08023200777434
0.3,2,16,"constrained",0.301571428571429,2.75293476958314,0.301571428571429,26.7237160956604,0.00986815498534499,-0.00570269583674776,0.0531055641293969,0.0531055641293969,0.106554713808812,1.08185989415215
0.3,2,20,"standard",0.301571428571429,2.46699460084343,0.104489366949646,21.4316200920561,0.0105760262294426,-0.00624723979540517,0.0265307770676317,0.0265307770676317,0.0804324310439721,1.01363260434988
0.3,2,20,"constrained",0.301571428571429,2.74852511512592,0.301571428571429,23.775218491257,0.00922084083042157,-0.0038775306782698,0.0338611803583717,0.0338611803583717,0.083535707541723,1.01505060900473
0.3,2,25,"standard",0.301571428571429,2.46184282479764,0.082850077053555,21.4115254318341,0.0103260364627278,-0.00522785138309749,0.00113230389730035,0.00113230389730035,0.0442532841759593,0.99462542229132
0.3,2,25,"constrained",0.301571428571429,2.77548555189858,0.301571428571429,23.9739305025824,0.0094016653202592,-0.00317037954973377,0.00682324489475583,0.00682324489475583,0.0460346667595257,0.99665915439399
0.3,3,8,"standard",0.302285714285714,2.03708356526547,0.203800556718768,19.7095160029858,0.0162848372155784,-0.0162848372155784,0.191633323474442,0.191633323474442,0.196648675495849,1.4599912863938
0.3,3,8,"constrained",0.302285714285714,2.19416469296428,0.302285714285714,21.3481352924061,0.0121778150453512,-0.0119527914232618,0.193677962293093,0.193677962293093,0.19723381893283,1.46042279849896
0.3,3,12,"standard",0.302285714285714,2.12892502478913,0.177486873102894,21.643574187509,0.0104940703347602,-0.00860322485600615,0.0969394580163598,0.0969394580163598,0.116404999491261,1.23891119012998
0.3,3,12,"constrained",0.302285714285714,2.31012974525401,0.302285714285714,23.6152770089056,0.0083314392528955,-0.00539338571900087,0.102283849681438,0.102283849681438,0.117267532155182,1.23953002181
0.3,3,16,"standard",0.302285714285714,2.10513325094126,0.153089775537918,18.661399526495,0.0104553556820046,-0.00811889004921805,0.0543117399527402,0.0543117399527402,0.0891686029980567,1.07996615947867
0.3,3,16,"constrained",0.302285714285714,2.29190699024304,0.302285714285714,20.1153132539632,0.00879562703499676,-0.00540425484229602,0.0589191562926876,0.0589191562926876,0.0888801713993748,1.08040513884229
