"method","K","weight_var_mean","weight_var_median","weight_var_sd","cov_mae_x_mean","cov_mae_x_median","cov_mae_x_sd","y_mean_abs_err_mean","y_mean_abs_err_median","y_mean_abs_err_sd","y_pred_mae_mean","y_pred_mae_median","y_pred_mae_sd","margin_max_abs_err_mean","margin_max_abs_err_median","margin_max_abs_err_sd","min_weight_mean","min_weight_median","min_weight_sd","max_weight_mean","max_weight_median","max_weight_sd"
"constrained",4,1.30418603671946,1.29500620423072,0.127799169914721,0.020483506130985,0.0204794074132925,0.00365268640928955,0.93099313604302,0.936460080675007,0.0754733993657601,2.03242915646628,2.03141954175558,0.0325119230543103,4.20535717915449e-10,1.09356967925578e-14,8.61792139426212e-10,0.300912766605481,0.300571428571429,0.00634848560822673,7.51776028545131,7.51926543791027,0.874329761018646
"standard",4,1.26906862817113,1.26412087862466,0.106087022261976,0.0231753524026654,0.023086742663894,0.00496557920460633,0.928321125740146,0.931813745928324,0.075220266505181,2.03242402064559,2.03130158152243,0.0324710861932215,3.60963532952674e-10,8.82627304577e-15,8.52446071066714e-10,0.279365201186783,0.27993976158189,0.014281916338288,7.32610276905782,7.2903065638006,0.715690133514644
"constrained",5,1.64711365567972,1.65709882639681,0.162928615387259,0.0160720221218495,0.0159599805717514,0.00296373868925878,0.756248544348631,0.76584029182766,0.0814212097405933,1.89856877718485,1.89568463991815,0.031331845123879,1.83095214820098e-09,1.94153282340181e-09,5.12331218269471e-10,0.299967599410898,0.299571428571429,0.00618759680590248,10.7989343810946,10.7882998292145,1.131343408126
"standard",5,1.56182221759417,1.56766535774901,0.138719527370547,0.020447191766582,0.0202438935484244,0.00368017045990448,0.753492244282872,0.761752698002685,0.0805168547618436,1.89832469947329,1.8953386216331,0.0313189879524384,3.10432950822889e-11,5.51780843238703e-14,3.00218371013778e-10,0.249538150225404,0.248232119516912,0.0117077761811341,10.2724385058229,10.2162048885667,0.953927908177868
"constrained",6,1.91209015957236,1.90383477665847,0.209622537405651,0.0143043964375536,0.014288718669629,0.00326403056596575,0.515974518940501,0.516864756735122,0.0740308235471656,1.67268297605183,1.66946013485369,0.0235197493189522,1.8941204976357e-09,1.88076992868602e-09,1.83169427655451e-10,0.300034985422741,0.299928571428571,0.00616438196217513,14.1086723929922,13.709461423636,2.07895912809389
"standard",6,1.78592814552814,1.77953349688118,0.17221431046353,0.0190678315708936,0.0187763762840042,0.0041344600646575,0.510037343285698,0.510790663758382,0.0723361356408093,1.67211154929506,1.66943511245742,0.0233821414619623,5.75312926550143e-12,7.52786721847087e-13,2.24143530171697e-11,0.224508152419472,0.224828101098637,0.0143598878992936,13.1939326234071,12.9082078205962,1.70661626592169
"constrained",7,2.06609806194025,2.04753926987917,0.237236896259487,0.0135083310127684,0.0128070188357355,0.00326869663207306,0.41225369234726,0.417533301153795,0.0732476475670037,1.58170589117927,1.57929533824832,0.0192254055324573,1.69554963735941e-09,1.69053965271004e-09,3.42424044120053e-10,0.300031428571429,0.299928571428571,0.00610755587069551,16.7692856754074,16.2419001891102,2.82515432331041
"standard",7,1.91871849503214,1.9060627565612,0.193420771057488,0.0179139195439447,0.0169262076288558,0.00409636106955545,0.405654353452775,0.411936807060305,0.0717637409170434,1.58099272607096,1.57890826706056,0.0190683704810664,1.73140984882636e-11,2.12424522416654e-12,5.37914980770403e-11,0.203866691737508,0.204894508575481,0.0151674674555824,15.5463227579716,15.1775942177878,2.30869255336486
"constrained",8,2.16560841184836,2.15060741345714,0.256689392570451,0.0126080994174293,0.0124781187517378,0.00286277384768142,0.313611679576137,0.320250716147072,0.0763893628173267,1.47736186983611,1.47361681249034,0.0173047053259061,1.56947617679926e-09,1.56968568698623e-09,3.44006578879531e-10,0.300031428571429,0.299928571428571,0.00610755587069551,18.126356699744,17.6894176444588,3.240508672004
"standard",8,1.99260567180925,1.98380626278344,0.204479010201938,0.017006335043143,0.0167709686314948,0.00365434682102945,0.306066430826388,0.309981475745837,0.0745625856364837,1.47649848437919,1.47309252182525,0.0171011206175629,2.73287747987183e-11,3.24490434522318e-12,8.13019568686543e-11,0.18139633959882,0.181381523257389,0.0144256961229329,16.6246772689708,16.2709030135528,2.58890330584908
