"target_rr","K","rr_obs","weight_var_pct","cov_mae_x_pct","y_mean_abs_err_pct","y_pred_mae_pct","min_std","min_con","max_std","max_con"
0.3,8,0.298930952380952,7.86173333279695,-22.0358662925339,1.68018397974725,0.0534651036429455,0.198281384608665,0.298930952380952,20.3041330000636,22.0694150075665
0.3,12,0.298930952380952,10.2770647464195,-19.7364980194939,4.00087965187124,0.0916987956984625,0.140875838827751,0.298930952380952,22.3507413910597,24.8093587121834
0.3,16,0.298930952380952,11.2921952992934,-16.8222203584655,7.95615771309191,0.131374832351299,0.120399246063467,0.298930952380952,22.5528398956741,25.2707148293202
0.3,20,0.298930952380952,11.6634884241769,-12.8667836485272,10.6441950715984,0.146005146833065,0.105460321295686,0.298930952380952,21.862361488511,24.4116017549868
0.3,25,0.298930952380952,12.2908448445817,-9.39115447003522,13.0122045154184,0.172445997823482,0.0934648297542394,0.298930952380952,21.9788545980713,24.6480606094434
0.5,8,0.500597619047619,23.6324664876004,-53.2644713733816,9.96429747786401,0.0111013604425951,0.280139441248016,0.500597619047619,6.2946052001088,7.9111517484608
0.5,12,0.500597619047619,27.8321085117282,-51.8637125400417,20.7556397750274,0.0301242176942079,0.226297564364184,0.500597619047619,7.49650408192925,10.0903342028975
0.5,16,0.500597619047619,29.153226562776,-47.2950152064542,36.1551356243152,0.0515523383433127,0.206877489325458,0.500597619047619,7.91589647137222,10.9142049164631
0.5,20,0.500597619047619,29.9326226165037,-40.6924988729353,42.7317326679216,0.068519438604132,0.190442484015076,0.500597619047619,8.12993452718822,11.2928422600868
0.5,25,0.500597619047619,30.8290878766591,-34.6172822195199,39.4314403217933,0.0796891286776062,0.179328655027652,0.500597619047619,8.34036923073888,11.7168009915288
0.65,8,0.650464285714286,30.5393528765236,-61.3755797553348,20.652837701666,0.00166079583873234,0.426240418971746,0.650464285714286,3.44480730820246,4.55292282884333
0.65,12,0.650464285714286,35.1185645820896,-58.7503729417588,41.3872699896442,0.00802687421757047,0.372373434936579,0.650464285714286,3.90423032519074,5.61500999903494
0.65,16,0.650464285714286,36.5564484915966,-54.5220880344091,66.3075214449568,0.0138525458812004,0.351805352770764,0.650464285714286,4.07932753279079,6.04517312648994
0.65,20,0.650464285714286,37.6887852328712,-48.6012681424961,57.3848821677739,0.0247790185497608,0.331970309070674,0.650464285714286,4.19133949531478,6.33600400379881
0.65,25,0.650464285714286,38.6536344776752,-42.1751503167948,34.3582666919665,0.0351359332560282,0.316160853216803,0.650464285714286,4.26737068115698,6.51170018112646
