"target_rr","method","K","rr_obs","weight_var","min_weight","max_weight","cov_mae_x","cov_bias_x","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae","y_mean_err_var","y_mean_rmse","y_pred_bias_var","y_pred_bias_rmse"
0.3,"constrained",8,0.298930952380952,2.28306886087578,0.298930952380952,22.0694150075665,0.0138358313400224,-0.0132736868474296,0.323778573216098,0.323778573216098,0.336114684733622,1.48702923088109,0.00494549226189145,0.331203308957975,0.00547257454862371,0.344026810388951
0.3,"standard",8,0.298930952380952,2.11666249960178,0.198281384608665,20.3041330000636,0.0177464055355718,-0.0175904850494223,0.318428390413405,0.318428390413405,0.333651020829659,1.48623461400434,0.00476296656409717,0.325699591048716,0.00550481625568163,0.341666610921759
0.3,"constrained",12,0.298930952380952,2.47914039664683,0.298930952380952,24.8093587121834,0.010995497386634,-0.0084730488007706,0.177332551069688,0.177332551069688,0.187520520368466,1.25498929272139,0.00384542775557323,0.187691691243549,0.00403323626844762,0.19781294503453
0.3,"standard",12,0.298930952380952,2.24810154527379,0.140875838827751,22.3507413910597,0.013699249491138,-0.0120846980224188,0.170510626124783,0.170510626124783,0.185213017799409,1.253839536966,0.00364573157990738,0.180717578028189,0.00401511416328284,0.195581332330718
0.3,"constrained",16,0.298930952380952,2.54158513782732,0.298930952380952,25.2707148293202,0.0102178362255057,-0.00704278925359552,0.0928603632188867,0.0928603632188867,0.110723725800139,1.08995629464044,0.00258672933823348,0.105672438411063,0.0028752323225773,0.122829374495403
0.3,"standard",16,0.298930952380952,2.28370473867673,0.120399246063467,22.5528398956741,0.0122843339525782,-0.0101697716850982,0.0858935001661013,0.0860167360398984,0.108427572577857,1.08852624511082,0.00242554023442292,0.0988069225036042,0.00286335416352084,0.120715243814753
0.3,"constrained",20,0.298930952380952,2.55969483344389,0.298930952380952,24.4116017549868,0.00975368201135319,-0.0056640615249981,0.0569983806397756,0.0625886074874798,0.0714726455041789,1.02273751695947,0.00282827612731162,0.0776527757869168,0.00298323904900749,0.0896764041069707
0.3,"standard",20,0.298930952380952,2.29232927393452,0.105460321295686,21.862361488511,0.0111939882627646,-0.00815581416879389,0.0496421003941583,0.0565674570156874,0.0683278309815627,1.02124644458852,0.0026536797534254,0.0712305404238846,0.00298293776331616,0.0871889592813939
0.3,"constrained",25,0.298930952380952,2.59827168021201,0.298930952380952,24.6480606094434,0.00922405917524991,-0.00421637949460227,0.042435029592764,0.0492484453604274,0.0547541017245166,1.00041914123656,0.00261799481621631,0.0661444880985417,0.00273474640819306,0.0754133871209121
0.3,"standard",25,0.298930952380952,2.31387668674877,0.0934648297542394,21.9788545980713,0.0101800868571926,-0.00622278682731438,0.0345138717607464,0.0435779883877129,0.0513389121831134,0.998696928353226,0.00245999215773572,0.0600849368174535,0.00275893391102105,0.0731343666364598
0.5,"constrained",8,0.500597619047619,0.881646481461459,0.500597619047619,7.9111517484608,0.00989120125613167,-0.00975210658689,0.220092077965348,0.220092077965348,0.242635574125418,1.44569237444488,0.00203975921372254,0.224602506686661,0.00199980771601671,0.2466546156442
0.5,"standard",8,0.500597619047619,0.713118897089934,0.280139441248016,6.2946052001088,0.0211642010838369,-0.0211607087732928,0.200148669171148,0.200148669171148,0.23485314316371,1.44553190073827,0.00187319954353789,0.204698483927281,0.00210766268773562,0.239224860393203
0.5,"constrained",12,0.500597619047619,0.958413206235174,0.500597619047619,10.0903342028975,0.00720171349000297,-0.0063110949790596,0.111391601275114,0.111391601275114,0.120961347282138,1.20111277650124,0.00120597757931123,0.116593167842817,0.00118327594314431,0.125678964881699
0.5,"standard",12,0.500597619047619,0.749743720410622,0.226297564364184,7.49650408192925,0.0149610904164424,-0.0147308030748636,0.0922454648765396,0.0922454648765396,0.115174916998683,1.20075105963807,0.00109624493244755,0.0979142480636109,0.00120687356214238,0.120216556715067
0.5,"constrained",16,0.500597619047619,0.981078412418461,0.500597619047619,10.9142049164631,0.00633372546972387,-0.004884863769704,0.0628234748241208,0.0632277122807915,0.072916417941709,1.05617759818579,0.00109758500784596,0.0708948581588172,0.00106971979458954,0.0798041047615746
0.5,"standard",16,0.500597619047619,0.75962361802986,0.206877489325458,7.91589647137222,0.01201731770635,-0.0115810421049648,0.0443016434779423,0.046437992948905,0.0681366048176628,1.0556333944866,0.000980967618232904,0.0541041012565197,0.00103984783639664,0.0752669512814337
0.5,"constrained",20,0.500597619047619,0.9948003392917,0.500597619047619,11.2928422600868,0.00565053408399824,-0.00352649981948806,0.042113656173978,0.0455629947615085,0.0432532299855497,0.995756402246009,0.000991742923259391,0.0524287508041002,0.00090933126127856,0.0525834350764583
0.5,"standard",20,0.500597619047619,0.765627845616457,0.190442484015076,8.12993452718822,0.00952752008871884,-0.00854488188463445,0.0238365781740973,0.0319221198466882,0.0390233736466266,0.995074582728231,0.000917743577624444,0.038348798030454,0.00090556755035434,0.0491253340814357
0.5,"constrained",25,0.500597619047619,1.01075732073503,0.500597619047619,11.7168009915288,0.00531445866691042,-0.00283512360878165,0.0289521344911483,0.0356716338649141,0.033366768671978,0.970609656863468,0.00102717082609017,0.0429915968988771,0.000865205471281935,0.0443184682914831
0.5,"standard",25,0.500597619047619,0.772578435835259,0.179328655027652,8.34036923073888,0.00812823150722109,-0.00685590695350379,0.0106733565701093,0.0255836372216967,0.0290173025563893,0.969836802366068,0.000965156661102428,0.0326035466969993,0.000862690781533236,0.0411134582526215
0.65,"constrained",8,0.650464285714286,0.373177481038913,0.650464285714286,4.55292282884333,0.00733095509732751,-0.00719130279467273,0.141477271114592,0.141477271114592,0.163532157999389,1.44196555846655,0.000740062065409879,0.144026198796208,0.000716898799665758,0.16567352590645
0.65,"standard",8,0.650464285714286,0.285873549098944,0.426240418971746,3.44480730820246,0.0189801039106601,-0.0189801039106601,0.117259795798933,0.117259795798933,0.15857631495252,1.44194161076028,0.000723494339577562,0.120255128004556,0.000699444429989813,0.160730316638599
0.65,"constrained",12,0.650464285714286,0.401120261716838,0.650464285714286,5.61500999903494,0.00543274230439801,-0.00461049131112588,0.0742488101738332,0.0742488101738332,0.0813432929959411,1.21682328530331,0.000532876419903003,0.0776973677705227,0.000579587941355334,0.0847741673964202
0.65,"standard",12,0.650464285714286,0.29686539592651,0.372373434936579,3.90423032519074,0.0131704034480782,-0.012967427886497,0.0522576547186951,0.0525144945363691,0.0781023347446505,1.2167256202682,0.00053388427256821,0.0570600444975037,0.000573904897392695,0.0816352528527653
0.65,"constrained",16,0.650464285714286,0.410044032742214,0.650464285714286,6.04517312648994,0.00468831649546175,-0.00355166589089562,0.0428113094340027,0.0429241958573624,0.0497788717032789,1.07174371514747,0.000408972430304335,0.0472754105068007,0.000439864275915397,0.0539487652565065
0.65,"standard",16,0.650464285714286,0.300274382697824,0.351805352770764,4.07932753279079,0.0103089968136817,-0.0100425365806709,0.0224615051519238,0.0258101350344333,0.047094367593675,1.07159527192077,0.000435856202996686,0.0305468680331821,0.000433289905720546,0.0514193335851415
0.65,"constrained",20,0.650464285714286,0.417124118884936,0.650464285714286,6.33600400379881,0.00423999033307954,-0.00271182982232351,0.0270466383555236,0.0285553774193162,0.037514196437733,1.0039916965799,0.000425013159121465,0.0339035433664967,0.000420602738417707,0.0426720942437354
0.65,"standard",20,0.650464285714286,0.30294705424226,0.331970309070674,4.19133949531478,0.00824921195494539,-0.0077242848744928,0.00740009906544208,0.0181436596870059,0.0351139205750429,1.00374297892096,0.000439791735821421,0.0220731361554286,0.00041885512979742,0.0405568937311265
0.65,"constrained",25,0.650464285714286,0.42358896313295,0.650464285714286,6.51170018112646,0.0039891947830858,-0.00216233449371535,0.0185249748675142,0.0216908732551989,0.0286916820275113,0.980161653731342,0.000404209048527846,0.0272148291358666,0.000408708666141981,0.035001563859454
0.65,"standard",25,0.650464285714286,0.305501521636025,0.316160853216803,4.26737068115698,0.00689875512853159,-0.00612802232554877,-0.000842826583291141,0.0161440555830688,0.0265800753382728,0.979817385748655,0.000424865223284045,0.0204571379444636,0.000403916454132975,0.0332217536896988
