"target_rr","method","K","weight_var","cov_mae_x","y_mean_abs_err","y_pred_mae","min_weight","max_weight","rr_obs"
0.3,"constrained",8,2.28306886087578,0.0138358313400224,0.323778573216098,1.48702923088109,0.298930952380952,22.0694150075665,0.298930952380952
0.5,"constrained",8,0.881646481461459,0.00989120125613167,0.220092077965348,1.44569237444488,0.500597619047619,7.9111517484608,0.500597619047619
0.65,"constrained",8,0.373177481038913,0.00733095509732751,0.141477271114592,1.44196555846655,0.650464285714286,4.55292282884333,0.650464285714286
0.3,"standard",8,2.11666249960178,0.0177464055355718,0.318428390413405,1.48623461400434,0.198281384608665,20.3041330000636,0.298930952380952
0.5,"standard",8,0.713118897089934,0.0211642010838369,0.200148669171148,1.44553190073827,0.280139441248016,6.2946052001088,0.500597619047619
0.65,"standard",8,0.285873549098944,0.0189801039106601,0.117259795798933,1.44194161076028,0.426240418971746,3.44480730820246,0.650464285714286
0.3,"constrained",12,2.47914039664683,0.010995497386634,0.177332551069688,1.25498929272139,0.298930952380952,24.8093587121834,0.298930952380952
0.5,"constrained",12,0.958413206235174,0.00720171349000297,0.111391601275114,1.20111277650124,0.500597619047619,10.0903342028975,0.500597619047619
0.65,"constrained",12,0.401120261716838,0.00543274230439801,0.0742488101738332,1.21682328530331,0.650464285714286,5.61500999903494,0.650464285714286
0.3,"standard",12,2.24810154527379,0.013699249491138,0.170510626124783,1.253839536966,0.140875838827751,22.3507413910597,0.298930952380952
0.5,"standard",12,0.749743720410622,0.0149610904164424,0.0922454648765396,1.20075105963807,0.226297564364184,7.49650408192925,0.500597619047619
0.65,"standard",12,0.29686539592651,0.0131704034480782,0.0525144945363691,1.2167256202682,0.372373434936579,3.90423032519074,0.650464285714286
0.3,"constrained",16,2.54158513782732,0.0102178362255057,0.0928603632188867,1.08995629464044,0.298930952380952,25.2707148293202,0.298930952380952
0.5,"constrained",16,0.981078412418461,0.00633372546972387,0.0632277122807915,1.05617759818579,0.500597619047619,10.9142049164631,0.500597619047619
0.65,"constrained",16,0.410044032742214,0.00468831649546175,0.0429241958573624,1.07174371514747,0.650464285714286,6.04517312648994,0.650464285714286
0.3,"standard",16,2.28370473867673,0.0122843339525782,0.0860167360398984,1.08852624511082,0.120399246063467,22.5528398956741,0.298930952380952
0.5,"standard",16,0.75962361802986,0.01201731770635,0.046437992948905,1.0556333944866,0.206877489325458,7.91589647137222,0.500597619047619
0.65,"standard",16,0.300274382697824,0.0103089968136817,0.0258101350344333,1.07159527192077,0.351805352770764,4.07932753279079,0.650464285714286
0.3,"constrained",20,2.55969483344389,0.00975368201135319,0.0625886074874798,1.02273751695947,0.298930952380952,24.4116017549868,0.298930952380952
0.5,"constrained",20,0.9948003392917,0.00565053408399824,0.0455629947615085,0.995756402246009,0.500597619047619,11.2928422600868,0.500597619047619
0.65,"constrained",20,0.417124118884936,0.00423999033307954,0.0285553774193162,1.0039916965799,0.650464285714286,6.33600400379881,0.650464285714286
0.3,"standard",20,2.29232927393452,0.0111939882627646,0.0565674570156874,1.02124644458852,0.105460321295686,21.862361488511,0.298930952380952
0.5,"standard",20,0.765627845616457,0.00952752008871884,0.0319221198466882,0.995074582728231,0.190442484015076,8.12993452718822,0.500597619047619
0.65,"standard",20,0.30294705424226,0.00824921195494539,0.0181436596870059,1.00374297892096,0.331970309070674,4.19133949531478,0.650464285714286
0.3,"constrained",25,2.59827168021201,0.00922405917524991,0.0492484453604274,1.00041914123656,0.298930952380952,24.6480606094434,0.298930952380952
0.5,"constrained",25,1.01075732073503,0.00531445866691042,0.0356716338649141,0.970609656863468,0.500597619047619,11.7168009915288,0.500597619047619
0.65,"constrained",25,0.42358896313295,0.0039891947830858,0.0216908732551989,0.980161653731342,0.650464285714286,6.51170018112646,0.650464285714286
0.3,"standard",25,2.31387668674877,0.0101800868571926,0.0435779883877129,0.998696928353226,0.0934648297542394,21.9788545980713,0.298930952380952
0.5,"standard",25,0.772578435835259,0.00812823150722109,0.0255836372216967,0.969836802366068,0.179328655027652,8.34036923073888,0.500597619047619
0.65,"standard",25,0.305501521636025,0.00689875512853159,0.0161440555830688,0.979817385748655,0.316160853216803,4.26737068115698,0.650464285714286
