"method_a","method_b","pairs","y_bias_diff_b_minus_a","y_abs_err_diff_b_minus_a","y_pred_mae_diff_b_minus_a","cov_abs_err_diff_b_minus_a","p11_abs_err_diff_b_minus_a","weight_var_pct_diff_b_minus_a","share_y_abs_err_improved_b_vs_a"
"unweighted","standard",400,0.26940844942343,0.26940844942343,1.04360964314765e-16,0.0849456947595737,-0.0457518028011867,Inf,0
"standard","constrained",400,-0.160264942293636,-0.160264942293636,-1.15740750317172e-16,-0.0424433390590899,-0.0424433390823013,127.761557114293,1
"standard","oracle_joint",400,-0.777418088757795,-0.71458098077958,3.08086889333484e-17,-0.205669839041167,-0.205669839042287,1490.44272292844,1
"constrained","oracle_joint",400,-0.617153146464159,-0.554316038485943,1.46549439250521e-16,-0.163226499982077,-0.163226499959985,598.404333648392,1
"standard","oracle_ipw",400,-0.771853160928133,-0.677943680354438,2.70616862252382e-16,-0.191164929718641,-0.162431581909377,1359.12288847062,1
"constrained","oracle_ipw",400,-0.611588218634496,-0.517678738060802,3.86357612569555e-16,-0.148721590659551,-0.119988242827076,611.891071975253,1
