"n_sample","rep","method","rr_obs","n_resp","weight_var","min_weight","max_weight","y_mean_err","y_mean_abs_err","y_pred_bias","y_pred_mae"
2000,1,"standard",0.2755,551,3.57786812204648,0.0514881360076194,23.1662436086209,0.152571739282889,0.152571739282889,0.273345287624095,1.06785755739093
2000,1,"constrained",0.2755,551,4.38674576831063,0.2755,27.5052341326886,0.173015898337315,0.173015898337315,0.261903455413454,1.0695752704641
2000,2,"standard",0.292,584,2.74330443627567,0.0552132548979989,19.7422572920031,-0.0616519267642763,0.0616519267642763,-0.0872658920550193,1.03700354351953
2000,2,"constrained",0.292,584,3.20109946779204,0.292,21.8560227531725,-0.0514224372715084,0.0514224372715084,-0.0789209979984459,1.03960811447634
2000,3,"standard",0.2945,589,2.34978893749503,0.0476978348995857,11.3564150385067,0.0242864673673937,0.0242864673673937,0.0184834656656205,1.07345496120575
2000,3,"constrained",0.2945,589,2.94052544577935,0.2945,13.5688251378618,0.0296871985625957,0.0296871985625957,0.0385621368179896,1.07764609878619
2000,4,"standard",0.3045,609,2.85352946408554,0.060896545873949,18.4447486277515,0.0283683939697301,0.0283683939697301,0.0802180122514138,1.0694999796654
2000,4,"constrained",0.3045,609,3.42795428902947,0.3045,20.9164177813552,0.0209905124090675,0.0209905124090675,0.0699392933633117,1.0742292109117
2000,5,"standard",0.2955,591,2.13453063410194,0.0622503721110631,15.147906676499,-0.0258848989010501,0.0258848989010501,0.0288010164130273,1.05688785209012
2000,5,"constrained",0.2955,591,2.40357763439092,0.2955,16.6052445778516,-0.0302358167205439,0.0302358167205439,0.0298823974242061,1.06116445824993
2000,6,"standard",0.2955,591,2.57144174545596,0.0483614691985649,14.6287324704208,-0.215650749313375,0.215650749313375,-0.188885182383565,1.0864400860494
2000,6,"constrained",0.2955,591,3.34414566106358,0.2955,19.1022200853972,-0.224465439810741,0.224465439810741,-0.179367688191272,1.08842782015584
2000,7,"standard",0.3135,627,2.00097684517989,0.0792094748441396,12.7080557540921,0.00133373831095174,0.00133373831095174,0.0466963975883493,1.07591914518659
2000,7,"constrained",0.3135,627,2.3454902060129,0.3135,14.3097332709402,-0.0122653255866556,0.0122653255866556,0.0421390603045981,1.0849446733342
2000,8,"standard",0.286,572,2.21079072065588,0.0740498724709734,14.7092047626656,0.158421056098285,0.158421056098285,0.140522880881307,1.05968034121028
2000,8,"constrained",0.286,572,2.47624136632539,0.286,16.1500805018607,0.167357193976827,0.167357193976827,0.151250629123605,1.06019513455354
2000,9,"standard",0.2905,581,2.7175381415048,0.0430428086251264,15.922334485561,0.240240930710473,0.240240930710473,0.256035075276436,1.0815539019817
2000,9,"constrained",0.2905,581,3.41082865006687,0.2905,18.0397563780494,0.250532264174557,0.250532264174557,0.266727921695648,1.08669120226531
2000,10,"standard",0.2935,587,2.297925724031,0.049823166916894,17.167342116934,2.89972130582683e-05,2.89972130582683e-05,-0.0411066136038744,1.03057954935531
2000,10,"constrained",0.2935,587,2.75478459095743,0.2935,19.6153289964983,0.0104245997958099,0.0104245997958099,-0.0317557756346479,1.03581143345049
2000,11,"standard",0.289,578,2.68449412147676,0.0371217480937239,14.8995689984542,0.145510431808876,0.145510431808876,0.14582696317712,1.11919795353561
2000,11,"constrained",0.289,578,3.19315963208832,0.289,16.8740011269725,0.16665584922997,0.16665584922997,0.152657309002119,1.1297507784206
2000,12,"standard",0.2935,587,1.84199842314068,0.0792043461902335,13.3552789969158,0.153056325543021,0.153056325543021,0.153418626739823,1.03890910283047
2000,12,"constrained",0.2935,587,2.04029534348588,0.2935,14.1845865903574,0.158306154272707,0.158306154272707,0.160011271296744,1.04118000872752
2000,13,"standard",0.302,604,2.40345040849462,0.0609033796140922,18.8382699204873,0.280252084411723,0.280252084411723,0.213048511935565,1.07721353103952
2000,13,"constrained",0.302,604,2.77745355239035,0.302,21.1157776478057,0.317073868806634,0.317073868806634,0.234410561036868,1.07828340782436
2000,14,"standard",0.2935,587,2.37816441506455,0.0516655380177737,18.1498049852955,0.0880602615630401,0.0880602615630401,0.174564892738651,1.03808581443335
2000,14,"constrained",0.2935,587,3.05015455643979,0.2935,22.0057812456774,0.0933004637207997,0.0933004637207997,0.16502343464383,1.04261698935535
2000,15,"standard",0.309,618,1.81275651288742,0.0872876335865118,13.2244692870269,0.166757594958219,0.166757594958219,0.172832069994822,1.04387627762887
2000,15,"constrained",0.309,618,2.05682489760792,0.309,14.7075214860993,0.162664970470967,0.162664970470967,0.17238170416614,1.04787423081808
2000,16,"standard",0.3045,609,2.20777305447633,0.0618242268453518,17.6863614738037,0.152186986892223,0.152186986892223,0.132628603554237,1.07598213414418
2000,16,"constrained",0.3045,609,2.61831333270457,0.3045,20.8127984970125,0.149710049541735,0.149710049541735,0.129512272725762,1.08606621361451
2000,17,"standard",0.285,570,2.53292594466518,0.0507981527468119,17.9474594857062,-0.0139085677447754,0.0139085677447754,0.000938050100986187,1.04319621829639
2000,17,"constrained",0.285,570,2.91291719015839,0.285,19.1396530443756,-0.00310741579810436,0.00310741579810436,0.0107819328510518,1.04403477149395
2000,18,"standard",0.298,596,2.1418292304189,0.110533596228498,22.7709264032743,-0.0991301303199208,0.0991301303199208,-0.0317506914039036,1.04993866529634
2000,18,"constrained",0.298,596,2.39463037111119,0.298,25.308709322553,-0.0934201014314526,0.0934201014314526,-0.0297831172575471,1.05378036152976
2000,19,"standard",0.302,604,1.86055892143093,0.0927727256587394,13.4657960769958,0.211073370816003,0.211073370816003,0.268605447208232,1.0633416907685
2000,19,"constrained",0.302,604,2.01671081963241,0.302,14.3263941552915,0.224343159894236,0.224343159894236,0.275155152371595,1.06485735981779
2000,20,"standard",0.299,598,1.90678227457439,0.0647884959525687,10.4636822636258,0.0504809189672217,0.0504809189672217,0.114612791038194,1.05893169835041
2000,20,"constrained",0.299,598,2.13541397736729,0.299,12.0054323355032,0.0518781361269696,0.0518781361269696,0.110293348163891,1.06404990471461
2000,21,"standard",0.304,608,2.06564635138991,0.0350142075903479,10.018166005794,-0.109074923369736,0.109074923369736,-0.141610244887227,1.0742391132068
2000,21,"constrained",0.304,608,2.63173417149759,0.304,12.3047005390187,-0.116645344254583,0.116645344254583,-0.153737808036042,1.09758515206582
2000,22,"standard",0.3005,601,2.49287532506757,0.0967191164855346,24.2838142121576,-0.159650961422686,0.159650961422686,-0.158297838538652,1.09019415304409
2000,22,"constrained",0.3005,601,2.80727681681576,0.3005,27.050546839382,-0.164389720623175,0.164389720623175,-0.156558440813628,1.09539470738262
2000,23,"standard",0.3055,611,2.85101999692989,0.07598493112131,21.9088039939478,0.251576360926498,0.251576360926498,0.192772391418661,1.06163111011165
2000,23,"constrained",0.3055,611,3.29609859741315,0.3055,23.925788874233,0.27694518647144,0.27694518647144,0.191419872525624,1.0619859438886
2000,24,"standard",0.294,588,1.86418632534002,0.0475647096510446,10.4472733525526,-0.012602552664589,0.012602552664589,0.0312678270234415,1.07229887080935
2000,24,"constrained",0.294,588,2.26543765625168,0.294,11.8734026421556,0.00399420012907914,0.00399420012907914,0.0398062851875059,1.08339640304179
2000,25,"standard",0.3055,611,2.452979923676,0.0427777575128745,21.0032732975775,-0.0315582372483032,0.0315582372483032,0.0442183563625376,1.05073340973432
2000,25,"constrained",0.3055,611,3.03657201354508,0.3055,25.2119917457388,-0.0268151310280977,0.0268151310280977,0.0227805612278232,1.05835819212284
2000,26,"standard",0.2975,595,2.23544564892316,0.0460843737657908,13.2803451612415,0.0363904442229064,0.0363904442229064,0.0552993154855136,1.05550985729694
2000,26,"constrained",0.2975,595,2.72358268276818,0.2975,15.1987868290722,0.0520064046641133,0.0520064046641133,0.0742510596659893,1.06655022943559
