"rep","K","method","rr_obs","weight_var","min_weight","max_weight","margin_max_abs_err","cov_mae_x","y_mean_abs_err","y_pred_mae"
1,4,"standard",0.288857142857143,1.26979239161147,0.281255712698766,7.27944472847154,1.00475183728577e-14,0.0218100949096528,0.971029580701066,2.0797052269719
1,4,"constrained",0.288857142857143,1.28129269591866,0.288857142857143,7.34139630213253,1.02695629777827e-14,0.0208313850908898,0.972528907495604,2.07965124260502
1,5,"standard",0.288857142857143,1.63469876075883,0.241492551559232,11.0577154871945,6.80566714095221e-14,0.0226196593359083,0.802354554756204,1.94073240542995
1,5,"constrained",0.288857142857143,1.72152132463605,0.288857142857143,11.6170534143429,1.75330372442772e-09,0.0182731063300554,0.80987345922944,1.9415885836439
1,6,"standard",0.288857142857143,1.88782374526256,0.203054876756365,16.1057571915482,4.16555678839359e-13,0.0267222432662793,0.536987785866785,1.71448887657363
1,6,"constrained",0.288857142857143,2.03899592136209,0.288857142857143,17.534188295522,1.9201144563219e-09,0.0212917444913795,0.551833357680255,1.71714146997237
1,7,"standard",0.288857142857143,1.93357527335698,0.180086179436456,12.5127297509436,6.3504757008559e-13,0.0267126710150478,0.401205473432859,1.59694167172186
1,7,"constrained",0.288857142857143,2.08739757113067,0.288857142857143,13.4572705231412,1.84095805266793e-09,0.0217006884333299,0.412834790596265,1.59844889527971
1,8,"standard",0.288857142857143,2.01471673342902,0.159834685579474,13.8437249285647,7.8070883091641e-13,0.0246055675444204,0.279406820837234,1.48362681282017
1,8,"constrained",0.288857142857143,2.20696159865647,0.288857142857143,15.1674856907595,1.45026246567426e-09,0.0196468698502985,0.290301065119231,1.4852082830945
1,9,"standard",0.288857142857143,2.06633165131632,0.147968327525175,14.6326774574963,1.03816955032698e-12,0.0205747474913567,0.228174867883761,1.40672313283875
1,9,"constrained",0.288857142857143,2.274536412556,0.288857142857143,16.0960937864972,1.80812315120349e-09,0.0160930603319877,0.240420638649125,1.40888468043627
1,10,"standard",0.288857142857143,2.0901418640793,0.138196095446036,15.5451856562083,1.13975495708019e-12,0.0183905699500867,0.186917239208901,1.33682818708785
1,10,"constrained",0.288857142857143,2.31022909863671,0.288857142857143,17.2626842098043,1.19140203258539e-09,0.0142983260034123,0.199032625235778,1.33890555473341
1,11,"standard",0.288857142857143,2.10516672849124,0.127548057599019,16.7507069864927,1.23934196238906e-12,0.0166117280289639,0.204967873981783,1.3036970730378
1,11,"constrained",0.288857142857143,2.3310494767772,0.288857142857143,18.7423654835369,1.25137505913031e-09,0.0132403470629126,0.216470711492555,1.30527309580691
1,12,"standard",0.288857142857143,2.15854991922467,0.115564322665329,18.651306108341,1.30040422874345e-12,0.0163194894240276,0.157073802749994,1.25145295440358
1,12,"constrained",0.288857142857143,2.41593129756748,0.288857142857143,21.2223958760008,1.42317513329715e-09,0.0132155300215731,0.16853596125475,1.2530904268683
1,13,"standard",0.288857142857143,2.16393275202239,0.113269911774873,19.097835309356,1.3656853425914e-12,0.0150949715752089,0.143753434191864,1.20791098082225
1,13,"constrained",0.288857142857143,2.42363892415088,0.288857142857143,21.7733473385798,1.71213693223038e-09,0.0122886835591714,0.155309483197503,1.20970578885753
1,14,"standard",0.288857142857143,2.1880886211134,0.103363462773624,20.7416260638484,1.32616140291475e-12,0.0149917023979451,0.103221431502496,1.14920015753816
1,14,"constrained",0.288857142857143,2.47282652824436,0.288857142857143,24.1185261410328,1.04499475739317e-09,0.0121921805682612,0.112722743970028,1.15017968490872
1,15,"standard",0.288857142857143,2.17244844674402,0.10161050764318,20.0204532948219,1.41564537869954e-12,0.0150508561011255,0.093573701418129,1.11198560136198
1,15,"constrained",0.288857142857143,2.45127522755788,0.288857142857143,23.1365652019863,1.29556965156041e-09,0.0124306657332659,0.10153873116761,1.11256671037033
1,16,"standard",0.288857142857143,2.22176669277331,0.0924696179501754,17.5676329004916,1.49635859258979e-12,0.0154799781224687,0.057425423093064,1.08208049137462
1,16,"constrained",0.288857142857143,2.52759981895118,0.288857142857143,20.227319990396,1.70595138015983e-09,0.0128074204841339,0.0669506501093711,1.08309903711261
1,17,"standard",0.288857142857143,2.20670057627579,0.0858179558868304,16.5679037721923,1.70174985214544e-12,0.0152804534478702,0.0418197451669267,1.05881172382185
1,17,"constrained",0.288857142857143,2.51618012732819,0.288857142857143,18.9188432248599,1.72352798699649e-09,0.0127659053326646,0.0486839985347363,1.05963187714537
1,18,"standard",0.288857142857143,2.2280289824889,0.080615472162574,16.4711466942883,1.70996550252767e-12,0.0146759156522063,0.0271128005886156,1.04634434117056
1,18,"constrained",0.288857142857143,2.55426888598268,0.288857142857143,18.4219970780636,8.79259554054101e-10,0.0123703354374302,0.0324474874003675,1.04734480966767
1,19,"standard",0.288857142857143,2.22818556626058,0.0811349529320318,16.6513037930708,1.72228897810101e-12,0.0142779092839805,0.0288303540704407,1.03012995997903
1,19,"constrained",0.288857142857143,2.55497400443735,0.288857142857143,18.6588702822408,1.00252534052103e-09,0.0122367852365386,0.034204366091604,1.03086579922029
1,20,"standard",0.288857142857143,2.24657935247327,0.0783514618722606,17.0418301122437,1.5984991108553e-12,0.013874786499815,0.0161146296813417,1.01974422325307
1,20,"constrained",0.288857142857143,2.57888232658249,0.288857142857143,19.8977322433993,1.43628769988524e-09,0.0120068353886344,0.0226317324065786,1.02065389815859
1,21,"standard",0.288857142857143,2.25815048904339,0.0796380257721926,17.2728573478187,1.80910841862669e-12,0.0131955068511328,0.0101630143604901,1.01170620086545
1,21,"constrained",0.288857142857143,2.592447154163,0.288857142857143,20.153166853088,1.50589546388247e-09,0.0114439811642524,0.0174233643677981,1.01279212986807
1,22,"standard",0.288857142857143,2.24701175762075,0.0775434214302686,15.8429280176206,1.80677695027498e-12,0.013016898593106,0.000841419060216175,1.0025402820865
1,22,"constrained",0.288857142857143,2.57751786564301,0.288857142857143,18.3287385679591,1.22413484904271e-09,0.0113226027272913,0.00944534334029346,1.00392432410583
1,23,"standard",0.288857142857143,2.25148705025015,0.0733102122450818,15.7870467632424,1.8686163727466e-12,0.0126257513963291,0.00515966564432802,1.00039142720508
1,23,"constrained",0.288857142857143,2.58449546928778,0.288857142857143,17.9593841150198,1.62396784908481e-09,0.0111581868839107,0.0139730148493777,1.0021050821413
1,24,"standard",0.288857142857143,2.24549590876086,0.0716094344881308,15.2838839089332,1.91224813761437e-12,0.0121956410424883,0.00022316237557618,0.996656879533673
1,24,"constrained",0.288857142857143,2.5761549233889,0.288857142857143,17.0865371576822,1.34620437020061e-09,0.010732876328466,0.00775680453125283,0.998355166029072
1,25,"standard",0.288857142857143,2.24611936543238,0.0700924129635847,15.1946206335919,1.89137594475142e-12,0.0118733285885196,0.00333577735494028,0.993791761128812
1,25,"constrained",0.288857142857143,2.5773631403241,0.288857142857143,17.5158932778741,8.95831686609228e-10,0.0105103787567889,0.00427202502761403,0.995285602422327
2,4,"standard",0.307714285714286,1.21810346211999,0.287327899183746,6.89674155859558,5.77315972805081e-15,0.0202682748324701,0.942578758256603,2.03410705965819
2,4,"constrained",0.307714285714286,1.24801393498697,0.307714285714286,7.05317967832929,8.21565038222616e-15,0.0176125937728016,0.945065447161105,2.03397290054186
2,5,"standard",0.307714285714286,1.51904366580801,0.249370524801204,10.1866215471738,1.50990331349021e-14,0.021587131239961,0.764639671411598,1.89792503908488
2,5,"constrained",0.307714285714286,1.61299612627276,0.307714285714286,10.7996181316124,1.78396997174701e-09,0.0164091362917866,0.767436064525909,1.89783708395562
2,6,"standard",0.307714285714286,1.69448911117833,0.22461856122404,13.0138974232566,1.77635683940025e-13,0.0208376128102741,0.531770759729954,1.67085162769757
2,6,"constrained",0.307714285714286,1.8204902932265,0.307714285714286,14.0370919309945,1.82020037930997e-09,0.0153832763201981,0.537479206771653,1.67119245958383
2,7,"standard",0.307714285714286,1.8767567006311,0.207911311736805,15.0863099663303,9.52016243616072e-13,0.0164717588628223,0.461952100809906,1.59988230594516
